id,title,kind,status,score,notes
1,完整渲染总览,markdown,done,0.92,"标题、Callout、表格"
2,代码示例,code,done,0.88,"多语言代码块"
3,数学公式,math,ready,0.95,"块公式与矩阵"
4,Mermaid 图表,diagram,ready,0.90,"流程图与时序图"
5,JSON Graph,data,ready,0.96,"搜索、缩放、定位"
6,CSV 与 TSV 表格,table,ready,0.94,"筛选、列导航、编辑"
7,工作区导航,workspace,done,0.91,"文件树、大纲、搜索"
8,图片与 SVG,media,ready,0.89,"预览、缩放、Split"
9,查找与替换,search,done,0.93,"语义搜索、正则替换"
10,HTML PNG PDF 导出,export,ready,0.87,"主题、公式、图表"
11,自动保存与恢复,recovery,ready,0.92,"外部变更、崩溃恢复"
12,主题与快捷键,preferences,done,0.90,"配色、快捷键、冲突"
